Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,10-06-2013,tot:,18-12-2020,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D2737,001,,157642,433072,514,10-06-2013,10-06-2013,18-12-2020,509,-6,-334,-434


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D2737,001,18-01-2014,128,134,381,,,,,,
B39D2737,001,19-01-2014,129,135,380,,,,,,
B39D2737,001,20-01-2014,131,137,378,,,,,,
B39D2737,001,21-01-2014,133,139,376,,,,,,
B39D2737,001,22-01-2014,134,140,375,,,,,,
B39D2737,001,23-01-2014,134,140,375,,,,,,
B39D2737,001,24-01-2014,137,143,372,,,,,,
B39D2737,001,25-01-2014,137,143,372,,,,,,
B39D2737,001,26-01-2014,136,142,373,,,,,,
B39D2737,001,27-01-2014,134,140,375,,,,,,
B39D2737,001,28-01-2014,133,139,376,,,,,,
B39D2737,001,29-01-2014,133,139,376,,,,,,
B39D2737,001,30-01-2014,132,138,377,,,,,,
B39D2737,001,31-01-2014,128,134,381,,,,,,
B39D2737,001,01-02-2014,128,134,381,,,,,,
B39D2737,001,02-02-2014,131,137,378,,,,,,
B39D2737,001,03-02-2014,132,138,377,,,,,,
B39D2737,001,04-02-2014,136,142,373,,,,,,
B39D2737,001,05-02-2014,135,141,374,,,,,,
B39D2737,001,06-02-2014,139,145,370,,,,,,
B39D2737,001,07-02-2014,139,145,370,,,,,,
B39D2737,001,08-02-2014,136,142,373,,,,,,
B39D2737,001,09-02-2014,137,143,372,,,,,,
B39D2737,001,10-02-2014,138,144,371,,,,,,
B39D2737,001,11-02-2014,139,145,370,,,,,,
B39D2737,001,12-02-2014,138,144,371,,,,,,
B39D2737,001,13-02-2014,136,142,373,,,,,,
B39D2737,001,14-02-2014,136,142,373,,,,,,
B39D2737,001,15-02-2014,134,140,375,,,,,,
B39D2737,001,16-02-2014,132,138,377,,,,,,
B39D2737,001,17-02-2014,126,132,383,,,,,,
B39D2737,001,18-02-2014,121,127,388,,,,,,
B39D2737,001,19-02-2014,119,125,390,,,,,,
B39D2737,001,20-02-2014,114,120,395,,,,,,
B39D2737,001,21-02-2014,115,121,394,,,,,,
B39D2737,001,22-02-2014,117,123,392,,,,,,
B39D2737,001,23-02-2014,118,124,391,,,,,,
B39D2737,001,24-02-2014,120,126,389,,,,,,
B39D2737,001,25-02-2014,124,130,385,,,,,,
B39D2737,001,26-02-2014,128,134,381,,,,,,
B39D2737,001,27-02-2014,129,135,380,,,,,,
B39D2737,001,28-02-2014,131,137,378,,,,,,
B39D2737,001,01-03-2014,134,140,375,,,,,,
B39D2737,001,02-03-2014,136,142,373,,,,,,
B39D2737,001,03-03-2014,137,143,372,,,,,,
B39D2737,001,04-03-2014,139,145,370,,,,,,
B39D2737,001,05-03-2014,141,147,368,,,,,,
B39D2737,001,06-03-2014,142,148,367,,,,,,
B39D2737,001,07-03-2014,143,149,366,,,,,,
B39D2737,001,08-03-2014,145,151,364,,,,,,
B39D2737,001,09-03-2014,147,153,362,,,,,,
B39D2737,001,10-03-2014,149,155,360,,,,,,
B39D2737,001,11-03-2014,151,157,358,,,,,,
B39D2737,001,12-03-2014,152,158,357,,,,,,
B39D2737,001,13-03-2014,154,160,355,,,,,,
B39D2737,001,14-03-2014,156,162,353,,,,,,
B39D2737,001,15-03-2014,158,164,351,,,,,,
B39D2737,001,16-03-2014,160,166,349,,,,,,
B39D2737,001,17-03-2014,162,168,347,,,,,,
B39D2737,001,18-03-2014,163,169,346,,,,,,
B39D2737,001,19-03-2014,165,171,344,,,,,,
B39D2737,001,20-03-2014,165,171,344,,,,,,
B39D2737,001,21-03-2014,170,176,339,,,,,,
B39D2737,001,22-03-2014,169,175,340,,,,,,
B39D2737,001,23-03-2014,170,176,339,,,,,,
B39D2737,001,24-03-2014,172,178,337,,,,,,
B39D2737,001,25-03-2014,175,181,334,,,,,,
B39D2737,001,26-03-2014,176,182,333,,,,,,
B39D2737,001,27-03-2014,175,181,334,,,,,,
B39D2737,001,28-03-2014,176,182,333,,,,,,
B39D2737,001,29-03-2014,176,182,333,,,,,,
B39D2737,001,30-03-2014,174,180,335,,,,,,
B39D2737,001,31-03-2014,174,180,335,,,,,,
B39D2737,001,01-04-2014,176,182,333,,,,,,
B39D2737,001,02-04-2014,178,184,331,,,,,,
B39D2737,001,03-04-2014,179,185,330,,,,,,
B39D2737,001,04-04-2014,181,187,328,,,,,,
B39D2737,001,05-04-2014,182,188,327,,,,,,
B39D2737,001,06-04-2014,182,188,327,,,,,,
B39D2737,001,07-04-2014,183,189,326,,,,,,
B39D2737,001,08-04-2014,186,192,323,,,,,,
B39D2737,001,09-04-2014,186,192,323,,,,,,
B39D2737,001,10-04-2014,186,192,323,,,,,,
B39D2737,001,11-04-2014,188,194,321,,,,,,
B39D2737,001,12-04-2014,189,195,320,,,,,,
B39D2737,001,13-04-2014,190,196,319,,,,,,
B39D2737,001,14-04-2014,192,198,317,,,,,,
B39D2737,001,15-04-2014,192,198,317,,,,,,
B39D2737,001,16-04-2014,192,198,317,,,,,,
B39D2737,001,17-04-2014,192,198,317,,,,,,
B39D2737,001,18-04-2014,195,201,314,,,,,,
B39D2737,001,19-04-2014,195,201,314,,,,,,
B39D2737,001,20-04-2014,195,201,314,,,,,,
B39D2737,001,21-04-2014,197,203,312,,,,,,
B39D2737,001,22-04-2014,198,204,311,,,,,,
B39D2737,001,23-04-2014,199,205,310,,,,,,
B39D2737,001,24-04-2014,201,207,308,,,,,,
B39D2737,001,25-04-2014,198,204,311,,,,,,
B39D2737,001,26-04-2014,198,204,311,,,,,,
B39D2737,001,27-04-2014,199,205,310,,,,,,
B39D2737,001,28-04-2014,200,206,309,,,,,,
B39D2737,001,29-04-2014,201,207,308,,,,,,
B39D2737,001,30-04-2014,201,207,308,,,,,,
B39D2737,001,01-05-2014,199,205,310,,,,,,
B39D2737,001,02-05-2014,198,204,311,,,,,,
B39D2737,001,03-05-2014,195,201,314,,,,,,
B39D2737,001,04-05-2014,193,199,316,,,,,,
B39D2737,001,05-05-2014,189,195,320,,,,,,
B39D2737,001,06-05-2014,186,192,323,,,,,,
B39D2737,001,07-05-2014,185,191,324,,,,,,
B39D2737,001,08-05-2014,182,188,327,,,,,,
B39D2737,001,09-05-2014,180,186,329,,,,,,
B39D2737,001,10-05-2014,178,184,331,,,,,,
B39D2737,001,11-05-2014,175,181,334,,,,,,
B39D2737,001,12-05-2014,173,179,336,,,,,,
B39D2737,001,13-05-2014,169,175,340,,,,,,
B39D2737,001,14-05-2014,167,173,342,,,,,,
B39D2737,001,15-05-2014,167,173,342,,,,,,
B39D2737,001,16-05-2014,166,172,343,,,,,,
B39D2737,001,17-05-2014,166,172,343,,,,,,
B39D2737,001,18-05-2014,165,171,344,,,,,,
B39D2737,001,19-05-2014,164,170,345,,,,,,
B39D2737,001,20-05-2014,164,170,345,,,,,,
B39D2737,001,21-05-2014,165,171,344,,,,,,
B39D2737,001,22-05-2014,165,171,344,,,,,,
B39D2737,001,23-05-2014,166,172,343,,,,,,
B39D2737,001,24-05-2014,168,174,341,,,,,,
B39D2737,001,25-05-2014,170,176,339,,,,,,
B39D2737,001,26-05-2014,171,177,338,,,,,,
B39D2737,001,27-05-2014,171,177,338,,,,,,
B39D2737,001,28-05-2014,170,176,339,,,,,,
B39D2737,001,29-05-2014,166,172,343,,,,,,
B39D2737,001,30-05-2014,164,170,345,,,,,,
B39D2737,001,31-05-2014,163,169,346,,,,,,
B39D2737,001,01-06-2014,162,168,347,,,,,,
B39D2737,001,02-06-2014,161,167,348,,,,,,
B39D2737,001,03-06-2014,161,167,348,,,,,,
B39D2737,001,04-06-2014,161,167,348,,,,,,
B39D2737,001,05-06-2014,162,168,347,,,,,,
B39D2737,001,06-06-2014,163,169,346,,,,,,
B39D2737,001,07-06-2014,164,170,345,,,,,,
B39D2737,001,08-06-2014,166,172,343,,,,,,
B39D2737,001,09-06-2014,167,173,342,,,,,,
B39D2737,001,10-06-2014,170,176,339,,,,,,
B39D2737,001,11-06-2014,174,180,335,,,,,,
